sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1333,ST-01,2026-07-14,291.99,23.78,in_store
SL-1334,ST-05,2026-07-14,215.01,15.71,in_store
SL-1335,ST-04,2026-07-14,56.21,3.40,in_store
SL-1336,ST-05,2026-07-14,158.41,13.87,online
SL-1337,ST-01,2026-07-14,147.07,10.34,online
SL-1338,ST-04,2026-07-14,25.57,2.26,in_store
SL-1339,ST-05,2026-07-14,124.84,10.00,online
SL-1340,ST-05,2026-07-14,63.82,4.44,in_store
SL-1341,ST-03,2026-07-14,264.31,20.12,online
SL-1342,ST-04,2026-07-14,266.28,20.79,online
SL-1343,ST-04,2026-07-14,327.92,21.45,in_store
SL-1344,ST-05,2026-07-14,134.96,8.92,online
SL-1345,ST-01,2026-07-14,314.68,27.00,online
SL-1346,ST-01,2026-07-14,202.37,14.28,online
SL-1347,ST-02,2026-07-14,162.85,13.63,phone
SL-1348,ST-03,2026-07-14,47.21,3.73,in_store
SL-1349,ST-05,2026-07-14,243.79,17.78,phone
SL-1350,ST-05,2026-07-14,350.63,30.97,in_store
SL-1351,ST-05,2026-07-14,415.46,35.29,online
SL-1352,ST-05,2026-07-14,49.20,3.24,in_store
SL-1353,ST-02,2026-07-14,283.69,18.58,in_store
SL-1354,ST-05,2026-07-14,356.80,28.54,online
SL-1355,ST-01,2026-07-14,262.54,22.03,online
SL-1356,ST-05,2026-07-14,210.64,14.48,in_store
SL-1357,ST-02,2026-07-14,165.05,10.04,phone
SL-1358,ST-01,2026-07-14,28.23,1.91,in_store
SL-1359,ST-05,2026-07-14,371.20,29.09,online
