sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1233,ST-01,2026-07-10,385.63,27.90,in_store
SL-1234,ST-05,2026-07-10,80.44,5.72,in_store
SL-1235,ST-04,2026-07-10,129.82,8.26,online
SL-1236,ST-01,2026-07-10,248.78,19.87,in_store
SL-1237,ST-01,2026-07-10,35.99,2.24,online
SL-1238,ST-04,2026-07-10,25.99,2.18,in_store
SL-1239,ST-01,2026-07-10,333.10,25.15,online
SL-1240,ST-01,2026-07-10,170.38,15.10,in_store
SL-1241,ST-03,2026-07-10,242.79,17.52,in_store
SL-1242,ST-03,2026-07-10,397.59,29.73,in_store
SL-1243,ST-04,2026-07-10,231.13,16.08,in_store
SL-1244,ST-05,2026-07-10,84.37,6.61,phone
SL-1245,ST-02,2026-07-10,59.00,4.69,online
SL-1246,ST-03,2026-07-10,222.76,18.91,in_store
SL-1247,ST-05,2026-07-10,312.82,20.84,in_store
SL-1248,ST-02,2026-07-10,114.22,10.03,in_store
SL-1249,ST-01,2026-07-10,255.26,19.98,online
SL-1250,ST-04,2026-07-10,208.46,17.09,online
SL-1251,ST-02,2026-07-10,258.11,22.84,online
SL-1252,ST-01,2026-07-10,49.42,4.27,in_store
SL-1253,ST-03,2026-07-10,154.68,9.73,online
SL-1254,ST-03,2026-07-10,115.85,9.96,in_store
SL-1255,ST-05,2026-07-10,188.92,12.87,in_store
SL-1256,ST-04,2026-07-10,297.77,21.19,in_store
SL-1257,ST-03,2026-07-10,390.77,29.29,in_store
