sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1276,ST-05,2026-07-12,105.31,7.06,online
SL-1277,ST-01,2026-07-12,343.32,23.73,online
SL-1278,ST-05,2026-07-12,391.59,31.28,phone
SL-1279,ST-01,2026-07-12,284.16,25.13,online
SL-1280,ST-04,2026-07-12,403.11,36.00,phone
SL-1281,ST-04,2026-07-12,370.21,23.77,in_store
SL-1282,ST-04,2026-07-12,82.09,7.17,online
SL-1283,ST-05,2026-07-12,176.02,13.31,in_store
SL-1284,ST-05,2026-07-12,418.32,29.96,in_store
SL-1285,ST-04,2026-07-12,294.53,20.96,phone
SL-1286,ST-03,2026-07-12,156.06,13.95,online
SL-1287,ST-04,2026-07-12,173.61,13.53,online
SL-1288,ST-01,2026-07-12,338.39,22.30,online
SL-1289,ST-01,2026-07-12,306.77,27.38,in_store
SL-1290,ST-05,2026-07-12,110.48,9.66,online
SL-1291,ST-02,2026-07-12,151.20,9.80,phone
SL-1292,ST-02,2026-07-12,60.89,4.95,in_store
SL-1293,ST-01,2026-07-12,96.69,8.07,in_store
SL-1294,ST-04,2026-07-12,203.26,15.49,online
SL-1295,ST-03,2026-07-12,161.04,12.99,in_store
SL-1296,ST-01,2026-07-12,42.62,2.76,phone
SL-1297,ST-01,2026-07-12,149.52,9.49,phone
SL-1298,ST-04,2026-07-12,200.73,18.02,in_store
SL-1299,ST-01,2026-07-12,119.63,8.24,online
SL-1300,ST-03,2026-07-12,385.54,28.68,in_store
SL-1301,ST-04,2026-07-12,62.43,4.67,online
SL-1302,ST-04,2026-07-12,278.87,24.90,online
SL-1303,ST-01,2026-07-12,33.13,2.84,in_store
SL-1304,ST-03,2026-07-12,402.23,33.78,online
SL-1305,ST-05,2026-07-12,105.75,7.27,in_store
SL-1306,ST-04,2026-07-12,306.81,27.40,in_store
SL-1307,ST-02,2026-07-12,296.80,23.24,in_store
SL-1308,ST-02,2026-07-12,250.10,17.99,online
SL-1309,ST-02,2026-07-12,174.56,12.29,online
