sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1151,ST-04,2026-07-07,236.23,18.14,online
SL-1152,ST-04,2026-07-07,361.13,26.47,online
SL-1153,ST-03,2026-07-07,109.58,8.42,online
SL-1154,ST-05,2026-07-07,354.52,30.34,in_store
SL-1155,ST-03,2026-07-07,179.13,15.81,online
SL-1156,ST-02,2026-07-07,262.52,22.97,in_store
SL-1157,ST-05,2026-07-07,39.34,3.09,phone
SL-1158,ST-02,2026-07-07,413.65,36.72,online
SL-1159,ST-02,2026-07-07,239.59,19.72,online
SL-1160,ST-04,2026-07-07,289.25,20.78,online
SL-1161,ST-05,2026-07-07,377.92,26.97,in_store
SL-1162,ST-05,2026-07-07,125.96,8.79,in_store
SL-1163,ST-02,2026-07-07,224.21,18.87,online
SL-1164,ST-04,2026-07-07,63.07,4.23,in_store
SL-1165,ST-05,2026-07-07,21.27,1.65,online
SL-1166,ST-05,2026-07-07,211.14,15.49,online
SL-1167,ST-04,2026-07-07,155.95,10.71,in_store
SL-1168,ST-01,2026-07-07,346.25,31.10,online
SL-1169,ST-05,2026-07-07,235.00,15.65,online
SL-1170,ST-05,2026-07-07,21.30,1.87,in_store
SL-1171,ST-03,2026-07-07,140.29,11.86,online
SL-1172,ST-05,2026-07-07,306.02,22.09,phone
SL-1173,ST-04,2026-07-07,112.18,9.35,online
SL-1174,ST-01,2026-07-07,268.12,20.75,in_store
SL-1175,ST-03,2026-07-07,18.44,1.51,phone
SL-1176,ST-01,2026-07-07,368.04,24.27,in_store
SL-1177,ST-04,2026-07-07,373.12,32.66,in_store
SL-1178,ST-05,2026-07-07,222.24,19.44,in_store
SL-1179,ST-05,2026-07-07,220.94,15.27,online
SL-1180,ST-05,2026-07-07,410.65,27.04,in_store
SL-1181,ST-02,2026-07-07,119.94,7.23,online
SL-1182,ST-04,2026-07-07,371.94,22.95,online
SL-1183,ST-05,2026-07-07,99.68,7.93,in_store
