sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1101,ST-05,2026-07-05,403.83,34.01,in_store
SL-1102,ST-03,2026-07-05,277.18,21.24,phone
SL-1103,ST-05,2026-07-05,103.56,6.57,online
SL-1104,ST-03,2026-07-05,69.19,5.01,in_store
SL-1105,ST-05,2026-07-05,59.25,4.11,online
SL-1106,ST-05,2026-07-05,403.72,26.34,phone
SL-1107,ST-02,2026-07-05,323.05,27.81,in_store
SL-1108,ST-02,2026-07-05,145.21,10.79,in_store
SL-1109,ST-05,2026-07-05,164.00,10.29,online
SL-1110,ST-04,2026-07-05,238.06,16.22,in_store
SL-1111,ST-01,2026-07-05,195.23,12.16,in_store
SL-1112,ST-01,2026-07-05,218.75,14.24,in_store
SL-1113,ST-02,2026-07-05,316.41,25.93,online
SL-1114,ST-04,2026-07-05,158.90,9.75,online
SL-1115,ST-02,2026-07-05,230.20,17.82,online
SL-1116,ST-03,2026-07-05,333.37,22.00,online
SL-1117,ST-01,2026-07-05,39.56,2.50,in_store
SL-1118,ST-04,2026-07-05,168.94,11.44,phone
SL-1119,ST-05,2026-07-05,310.46,22.13,online
SL-1120,ST-03,2026-07-05,182.11,12.61,online
SL-1121,ST-02,2026-07-05,279.47,24.58,online
SL-1122,ST-03,2026-07-05,29.01,2.59,online
SL-1123,ST-05,2026-07-05,379.82,23.02,in_store
SL-1124,ST-02,2026-07-05,32.75,2.06,in_store
