sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1125,ST-03,2026-07-06,274.40,19.03,online
SL-1126,ST-04,2026-07-06,264.95,18.10,in_store
SL-1127,ST-02,2026-07-06,163.55,12.88,phone
SL-1128,ST-04,2026-07-06,197.47,12.43,in_store
SL-1129,ST-05,2026-07-06,112.23,9.50,in_store
SL-1130,ST-01,2026-07-06,388.52,29.86,online
SL-1131,ST-05,2026-07-06,330.90,22.93,online
SL-1132,ST-01,2026-07-06,399.90,28.66,in_store
SL-1133,ST-01,2026-07-06,54.20,4.86,online
SL-1134,ST-02,2026-07-06,98.75,6.87,in_store
SL-1135,ST-02,2026-07-06,231.24,16.23,in_store
SL-1136,ST-05,2026-07-06,129.42,9.16,online
SL-1137,ST-05,2026-07-06,90.36,6.06,online
SL-1138,ST-03,2026-07-06,52.00,3.49,online
SL-1139,ST-03,2026-07-06,91.36,6.33,in_store
SL-1140,ST-03,2026-07-06,315.76,25.71,online
SL-1141,ST-04,2026-07-06,62.74,4.54,in_store
SL-1142,ST-04,2026-07-06,89.23,7.05,in_store
SL-1143,ST-04,2026-07-06,104.73,8.92,phone
SL-1144,ST-03,2026-07-06,193.49,17.20,online
SL-1145,ST-05,2026-07-06,34.40,2.91,online
SL-1146,ST-01,2026-07-06,384.33,29.42,in_store
SL-1147,ST-01,2026-07-06,163.85,11.33,in_store
SL-1148,ST-04,2026-07-06,146.07,11.96,online
SL-1149,ST-02,2026-07-06,148.97,13.30,online
SL-1150,ST-03,2026-07-06,228.28,19.05,in_store
