sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1204,ST-04,2026-07-09,375.79,29.32,in_store
SL-1205,ST-05,2026-07-09,191.63,14.27,in_store
SL-1206,ST-05,2026-07-09,401.94,27.47,online
SL-1207,ST-03,2026-07-09,329.16,22.21,in_store
SL-1208,ST-01,2026-07-09,255.13,22.22,online
SL-1209,ST-02,2026-07-09,408.59,26.64,phone
SL-1210,ST-01,2026-07-09,292.17,23.60,online
SL-1211,ST-05,2026-07-09,394.42,34.15,online
SL-1212,ST-04,2026-07-09,388.64,30.16,in_store
SL-1213,ST-04,2026-07-09,283.81,20.84,in_store
SL-1214,ST-04,2026-07-09,288.94,19.92,in_store
SL-1215,ST-04,2026-07-09,115.93,7.30,phone
SL-1216,ST-05,2026-07-09,320.23,23.50,online
SL-1217,ST-02,2026-07-09,185.18,11.66,in_store
SL-1218,ST-01,2026-07-09,235.70,18.73,in_store
SL-1219,ST-02,2026-07-09,326.46,24.79,in_store
SL-1220,ST-02,2026-07-09,255.97,16.08,in_store
SL-1221,ST-04,2026-07-09,345.37,27.98,online
SL-1222,ST-03,2026-07-09,63.08,4.32,in_store
SL-1223,ST-05,2026-07-09,254.44,16.80,in_store
SL-1224,ST-01,2026-07-09,171.54,15.43,online
SL-1225,ST-05,2026-07-09,137.79,8.47,in_store
SL-1226,ST-05,2026-07-09,78.35,5.30,phone
SL-1227,ST-05,2026-07-09,261.49,20.28,online
SL-1228,ST-02,2026-07-09,145.58,9.39,phone
SL-1229,ST-04,2026-07-09,398.32,31.66,in_store
SL-1230,ST-03,2026-07-09,104.26,6.68,in_store
SL-1231,ST-01,2026-07-09,321.82,20.27,in_store
SL-1232,ST-04,2026-07-09,233.57,17.83,in_store
