sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1051,ST-01,2026-07-03,108.31,7.78,online
SL-1052,ST-05,2026-07-03,221.29,14.56,online
SL-1053,ST-05,2026-07-03,133.17,9.02,in_store
SL-1054,ST-03,2026-07-03,48.77,3.38,online
SL-1055,ST-02,2026-07-03,413.42,26.28,online
SL-1056,ST-01,2026-07-03,139.56,8.56,phone
SL-1057,ST-01,2026-07-03,166.20,11.16,phone
SL-1058,ST-04,2026-07-03,393.27,28.34,online
SL-1059,ST-01,2026-07-03,415.89,27.57,online
SL-1060,ST-02,2026-07-03,314.07,21.21,in_store
SL-1061,ST-02,2026-07-03,116.03,9.30,online
SL-1062,ST-03,2026-07-03,67.54,4.70,online
SL-1063,ST-03,2026-07-03,376.99,25.93,phone
SL-1064,ST-02,2026-07-03,396.06,31.51,online
SL-1065,ST-05,2026-07-03,323.61,28.12,phone
SL-1066,ST-01,2026-07-03,172.58,11.80,in_store
SL-1067,ST-05,2026-07-03,410.41,28.46,in_store
SL-1068,ST-03,2026-07-03,366.46,23.03,online
SL-1069,ST-03,2026-07-03,98.32,8.10,online
