sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1310,ST-04,2026-07-13,343.60,22.18,in_store
SL-1311,ST-02,2026-07-13,305.26,18.96,online
SL-1312,ST-02,2026-07-13,62.30,3.82,online
SL-1313,ST-02,2026-07-13,202.12,17.40,in_store
SL-1314,ST-05,2026-07-13,358.73,31.83,online
SL-1315,ST-01,2026-07-13,137.48,11.87,in_store
SL-1316,ST-02,2026-07-13,218.80,18.48,in_store
SL-1317,ST-03,2026-07-13,396.27,34.65,online
SL-1318,ST-05,2026-07-13,403.07,26.27,in_store
SL-1319,ST-04,2026-07-13,89.86,6.64,in_store
SL-1320,ST-01,2026-07-13,125.15,9.00,online
SL-1321,ST-04,2026-07-13,75.82,6.77,in_store
SL-1322,ST-05,2026-07-13,145.03,10.77,phone
SL-1323,ST-02,2026-07-13,312.06,23.57,in_store
SL-1324,ST-04,2026-07-13,315.74,25.65,in_store
SL-1325,ST-03,2026-07-13,367.13,28.13,online
SL-1326,ST-05,2026-07-13,62.30,4.14,in_store
SL-1327,ST-03,2026-07-13,389.68,27.63,in_store
SL-1328,ST-03,2026-07-13,88.69,7.41,in_store
SL-1329,ST-03,2026-07-13,28.92,2.17,online
SL-1330,ST-03,2026-07-13,333.84,23.78,in_store
SL-1331,ST-03,2026-07-13,294.43,26.49,in_store
SL-1332,ST-02,2026-07-13,180.94,15.55,in_store
