sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1023,ST-05,2026-07-02,52.26,4.37,online
SL-1024,ST-03,2026-07-02,310.73,19.73,online
SL-1025,ST-04,2026-07-02,411.69,28.61,in_store
SL-1026,ST-05,2026-07-02,78.63,5.97,in_store
SL-1027,ST-02,2026-07-02,150.76,11.89,phone
SL-1028,ST-04,2026-07-02,31.81,2.74,in_store
SL-1029,ST-05,2026-07-02,193.98,14.94,online
SL-1030,ST-01,2026-07-02,133.92,9.11,in_store
SL-1031,ST-02,2026-07-02,338.94,30.06,in_store
SL-1032,ST-05,2026-07-02,207.23,13.59,in_store
SL-1033,ST-03,2026-07-02,285.28,17.26,in_store
SL-1034,ST-01,2026-07-02,297.50,25.62,online
SL-1035,ST-02,2026-07-02,229.56,19.92,phone
SL-1036,ST-01,2026-07-02,163.38,12.30,online
SL-1037,ST-04,2026-07-02,28.07,1.73,in_store
SL-1038,ST-01,2026-07-02,274.51,22.18,online
SL-1039,ST-05,2026-07-02,369.26,24.80,in_store
SL-1040,ST-01,2026-07-02,202.02,16.61,online
SL-1041,ST-01,2026-07-02,343.23,23.87,phone
SL-1042,ST-05,2026-07-02,48.63,3.62,online
SL-1043,ST-05,2026-07-02,341.01,29.50,in_store
SL-1044,ST-03,2026-07-02,283.49,17.81,online
SL-1045,ST-05,2026-07-02,258.30,19.97,in_store
SL-1046,ST-05,2026-07-02,308.72,19.70,online
SL-1047,ST-04,2026-07-02,66.44,4.50,online
SL-1048,ST-03,2026-07-02,326.97,27.27,online
SL-1049,ST-04,2026-07-02,384.69,30.84,in_store
SL-1050,ST-01,2026-07-02,139.77,9.18,in_store
