sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1070,ST-02,2026-07-04,211.34,14.57,phone
SL-1071,ST-02,2026-07-04,66.18,4.69,online
SL-1072,ST-05,2026-07-04,250.19,17.29,in_store
SL-1073,ST-05,2026-07-04,369.89,31.44,online
SL-1074,ST-05,2026-07-04,350.06,27.46,in_store
SL-1075,ST-04,2026-07-04,52.72,4.37,in_store
SL-1076,ST-01,2026-07-04,43.12,3.53,in_store
SL-1077,ST-05,2026-07-04,308.91,25.32,online
SL-1078,ST-02,2026-07-04,211.02,16.46,online
SL-1079,ST-01,2026-07-04,223.07,14.04,phone
SL-1080,ST-02,2026-07-04,256.85,18.18,phone
SL-1081,ST-05,2026-07-04,111.40,9.43,in_store
SL-1082,ST-01,2026-07-04,198.52,15.14,in_store
SL-1083,ST-04,2026-07-04,193.23,14.50,in_store
SL-1084,ST-03,2026-07-04,192.27,15.42,in_store
SL-1085,ST-04,2026-07-04,393.37,24.31,online
SL-1086,ST-02,2026-07-04,39.47,2.76,online
SL-1087,ST-04,2026-07-04,160.95,12.67,online
SL-1088,ST-01,2026-07-04,417.42,32.72,in_store
SL-1089,ST-02,2026-07-04,220.64,14.02,in_store
SL-1090,ST-03,2026-07-04,63.73,5.65,phone
SL-1091,ST-05,2026-07-04,290.92,21.73,phone
SL-1092,ST-02,2026-07-04,116.62,8.26,in_store
SL-1093,ST-03,2026-07-04,37.19,2.59,in_store
SL-1094,ST-01,2026-07-04,329.76,20.19,phone
SL-1095,ST-04,2026-07-04,160.50,10.61,in_store
SL-1096,ST-01,2026-07-04,309.63,22.88,in_store
SL-1097,ST-02,2026-07-04,238.87,19.54,online
SL-1098,ST-03,2026-07-04,22.55,1.80,phone
SL-1099,ST-02,2026-07-04,110.64,8.96,in_store
SL-1100,ST-01,2026-07-04,26.84,1.94,online
