sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1258,ST-02,2026-07-11,23.34,1.85,phone
SL-1259,ST-04,2026-07-11,204.74,16.04,online
SL-1260,ST-04,2026-07-11,353.97,23.14,in_store
SL-1261,ST-05,2026-07-11,329.78,24.07,online
SL-1262,ST-01,2026-07-11,124.23,9.16,phone
SL-1263,ST-01,2026-07-11,135.37,11.48,online
SL-1264,ST-03,2026-07-11,166.99,13.19,phone
SL-1265,ST-02,2026-07-11,225.26,15.35,online
SL-1266,ST-03,2026-07-11,123.13,10.23,phone
SL-1267,ST-04,2026-07-11,53.60,4.54,online
SL-1268,ST-01,2026-07-11,328.90,27.54,phone
SL-1269,ST-04,2026-07-11,215.58,15.88,phone
SL-1270,ST-02,2026-07-11,374.58,23.28,online
SL-1271,ST-01,2026-07-11,264.85,18.99,online
SL-1272,ST-04,2026-07-11,20.81,1.62,online
SL-1273,ST-03,2026-07-11,250.82,20.12,online
SL-1274,ST-03,2026-07-11,200.62,17.04,phone
SL-1275,ST-05,2026-07-11,147.50,11.76,online
